,month,hour,year,day,count,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day_of_week,vehicle_type,vehicle_encoded
235,1,9,2019,28,19,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
236,1,9,2019,29,25,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
237,1,9,2019,30,22,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
238,1,9,2019,31,21,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
239,1,10,2019,1,3,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
240,1,10,2019,2,2,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,bicycle,1
241,1,10,2019,3,2,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
242,1,10,2019,4,4,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,bicycle,1
243,1,10,2019,5,7,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
244,1,10,2019,6,10,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
245,1,10,2019,7,11,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
246,1,10,2019,8,10,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
247,1,10,2019,9,17,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
248,1,10,2019,10,10,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,bicycle,1
249,1,10,2019,11,8,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
250,1,10,2019,12,16,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
251,1,10,2019,13,6,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
252,1,10,2019,14,8,2019-01-14,50,43,36,86,70,57,14,6,0,0,0,bicycle,1
253,1,10,2019,15,9,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
254,1,10,2019,16,6,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
255,1,10,2019,17,15,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
256,1,10,2019,18,10,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
257,1,10,2019,19,7,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
258,1,10,2019,20,17,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
259,1,10,2019,21,22,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
260,1,10,2019,22,17,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
261,1,10,2019,23,18,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
